owner,nftId,merkleAmt
0x0962bd7010249356eb89363ce7773c4a53fc97cb,138,0
0x794b769d5c7e4d66d9a8d1da91e9cb7a94bb18e7,139,28.08997
0xdb2b9d473014d8c6a5e55da92205199457ba6624,140,0
0x2322ac6e94110c5c902ac20cd6d64da07a41a3e8,141,14.1054822
0x816b673bc7cdc2afb886fa3b745bb2c02b9dc8ba,142,0
0xbfa700edc21a6bf09d22cea1bba95fc54e7b6dc5,143,16492.79657
0xbfa700edc21a6bf09d22cea1bba95fc54e7b6dc5,144,0
0xbfa700edc21a6bf09d22cea1bba95fc54e7b6dc5,145,0
0xbfa700edc21a6bf09d22cea1bba95fc54e7b6dc5,146,0
0x3a1ca7d233b732d50f9da07dd240573c89b7e07c,147,0
0xe53d3f2b99fe0ed6c05977bc0547127836f0d78d,148,0
0x72c5cd18a51d53db34072546a7a38a4f73600d92,149,0
0x2b01501c2e2e3200e68f1fdc557a10c82bf05626,150,0
0x0b997e226b63fded87673bc8b43ba24477b8147a,151,125
0xc766545ef68b49e5c70f4e04c52a9caf27b9a9a6,152,0
0x4a9b562176bd1da06b3cc265f2710251d5e98290,153,0
0xc860c978ce407b561bcbb9121dd2668a1a229a5a,154,1812.94995
0x5b1b5d7f419c8c26a6ed51b46db09ae6376a82da,155,0
0x71b700181b31747f28a7cde2c26b503a2335c0ad,156,0
0x9d480d2e3a1a3e5fe678ca8b932b4ca7d1503e2c,157,0
0x14edc2ce4e34d610539543e19dbeac3ea8ac7d11,158,0
0x9cab916493d31d1114a1d4f9a497aa886c1506e9,159,5000
0x7eb010ee94df76f0310b9abcda8ffc301983d6bf,160,1271.444426
0xcff8097b146dc56f40bdf34e18e0283dd404765f,161,0
0x7eb010ee94df76f0310b9abcda8ffc301983d6bf,162,1276.178168
0xc24badf40e4687ea6a318fa86e4dea8d7c307626,163,7500
0x657a38e6994cb578351376dcdb077330d00665d6,164,10
0x2a0df2e096d378d3d4149539f4eff1a0a748af92,165,0
0x13d4cabc402153cb35be28fc515cbe1342eb8ea8,166,370.29086
0xbad30f9f758e4c533fb9cde65fae5154f0430148,167,0
0xa6a2ad1320cec227f24f404fccc120b71b41757d,168,22.3344
0xc7067dae9f1feb29f2deffa090dc39ef4881f215,169,0
0x6e81417b312917305d12f76fa3b6bd66ffaa75e7,170,0
0x932c5d4c6826857a0389ed351b56355b54cc49f0,171,4095.17303
